,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRITICAL SLENDERNESS RATIO,,,,,,,,,x2,0,1,0,Pinned-Pinned,,,,,,,,,,,,,,32,W36X853,W36X853,T,853,251,43.1,43  1/8 ,18.2,18  1/4 ,2.52,2  1/2 ,1  1/4 ,4.53,4  1/2 ,5.28,5  3/8 ,2  1/16,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,175,5.22,38.6,1950,,,135,153,104,122,32  3/8 ,7  1/2 ,3    ,W920X1269,W920X1269,1270,162000,1090,1100,462,464,64.0,63.5,31.8,115,114,134,137,52.4,2.01,12.9,29100,64200,53300,424,1910,13200,8280,109,516000,459000,113000,1510,11200,32000,133,980,3430,3890,2640,3100,822,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connection,Element,Length,K,r,KL/r,,,,x3,0,2,0,Free-Pinned,,,,,,,,,,,,,,33,W36X802,W36X802,T,802,236,42.6,42  5/8 ,18.0,18      ,2.38,2  3/8 ,1  3/16,4.29,4  5/16,5.04,5  1/8 ,2      ,2.10,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,172,5.15,38.3,1820,,,133,151,103,121,32  3/8 ,7  1/2 ,3    ,W920X1194,W920X1194,1190,152000,1080,1080,457,457,60.5,60.3,30.2,109,110,128,130,50.8,2.10,13.7,27000,60000,49800,422,1750,12200,7670,107,437000,414000,111000,1390,10500,29800,131,973,3380,3840,2620,3070,822,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Pinned,x1,840,0.8,16.8,40,,,,x4,0,2,0,Free-Pinned,,,,,,,,,,,,,,34,W36X723,W36X723,T,723,213,41.8,41  3/4 ,17.8,17  3/4 ,2.17,2  3/16,1  1/8 ,3.90,3  7/8 ,4.65,4 11/16,1  7/8 ,2.28,15.0,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,169,5.06,37.9,1630,,,131,149,101,119,32  3/8 ,7  1/2 ,3    ,W920X1077,W920X1077,1080,137000,1060,1060,452,451,55.1,55.6,28.6,99.1,98.4,118,119,47.6,2.28,15.0,23800,53600,44900,417,1540,10800,6820,106,327000,357000,109000,1220,9470,26700,129,963,3330,3780,2570,3020,822,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinned-Pinned,x2,0,1,16.8,0,,,,x5,0,1.2,0,Fixed-Free,,,,,,,,,,,,,,35,W36X652,W36X652,T,652,192,41.1,41      ,17.6,17  5/8 ,1.97,2      ,1      ,3.54,3  9/16,4.49,4 13/16,2  3/16,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.10,593,1130000,165,4.96,37.6,1450,,,129,147,99.8,117,31  3/8 ,7  1/2 ,3    ,W920X970,W920X970,970,124000,1040,1040,447,448,50.0,50.8,25.4,89.9,90.5,114,122,55.6,2.48,16.3,21100,47700,40300,411,1340,9520,6010,104,247000,303000,106000,1070,8490,23800,126,955,3280,3730,2530,2970,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Fixed,x3,0,0.65,16.8,0,,,,Governing KLx,,,64,,,,,,,,,,,,,,,36,W36X529,W36X529,T,529,156,39.8,39  3/4 ,17.2,17  1/4 ,1.61,1  5/8 , 13/16,2.91,2 15/16,3.86,4  3/16,2      ,2.96,19.9,39600,2330,1990,16.0,2490,454,289,4.00,327,846000,159,4.80,36.9,1160,,,127,144,96.8,114,31  3/8 ,7  1/2 ,3    ,W920X787,W920X787,787,101000,1010,1010,437,438,40.9,41.3,20.6,73.9,74.6,98.0,106,50.8,2.96,19.9,16500,38200,32600,406,1040,7440,4740,102,136000,227000,103000,828,6870,19000,122,937,3230,3660,2460,2900,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Pinned,x4,0,0.8,16.8,0,,,,y1,40,0.8,32,Fixed-Pinned,,,,,,,,,,,,,,37,W36X487,W36X487,T,487,143,39.3,39  3/8 ,17.1,17  1/8 ,1.50,1  1/2 ,  3/4 ,2.68,2 11/16,3.63,4      ,1  7/8 ,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,157,4.74,36.6,1060,,,125,142,95.7,113,31  3/8 ,7  1/2 ,3    ,W920X725,W920X725,725,92300,998,1000,434,435,38.1,38.1,19.0,68.1,68.3,92.2,102,47.6,3.19,21.4,15000,34900,30000,401,937,6750,4310,101,107000,202000,101000,749,6280,17400,120,930,3180,3610,2430,2870,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Free,x5,0,1.2,16.8,0,,,,y2,40,0.65,26,Fixed-Fixed,,,,,,,,,,,,,,38,W36X441,W36X441,T,441,130,38.9,38  7/8 ,17.0,17      ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.39,3  3/4 ,1  7/8 ,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,154,4.69,36.5,950,,,124,141,94.8,112,31  3/8 ,7  1/2 ,3    ,W920X656,W920X656,656,83900,988,987,432,432,34.5,34.9,17.5,62.0,61.9,86.1,95.3,47.6,3.48,23.6,13400,31300,27000,399,828,6030,3850,99.6,80700,178000,99400,666,5690,15600,119,927,3150,3580,2410,2840,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Pinned,y1,420,0.8,3.72,90.32258065,,,,y3,0,0.65,0,Fixed-Fixed,,,,,,,,,,,,,,39,W36X395,W36X395,T,395,116,38.4,38  3/8 ,16.8,16  7/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.15,3  7/16,1 13/16,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,152,4.61,36.2,847,,,123,140,93.6,110,31  3/8 ,7  1/2 ,3    ,W920X588,W920X588,588,74800,975,975,427,429,31.0,31.8,15.9,55.9,55.6,80.0,87.3,46.0,3.83,26.3,11900,28000,24400,399,728,5330,3410,98.6,59100,154000,98100,587,5100,13900,117,919,3120,3560,2380,2790,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinned-Pinned,y2,420,1,3.72,112.9032258,,,,y4,0,0.65,0,Fixed-Fixed,,,,,,,,,,,,,,40,W36X361,W36X361,T,361,106,38.0,38      ,16.7,16  3/4 ,1.12,1  1/8 ,  9/16,2.01,2      ,2.96,3  5/16,1  3/4 ,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,150,4.58,36.0,767,,,122,139,92.7,109,31  3/8 ,7  1/2 ,3    ,W920X537,W920X537,537,68400,965,965,424,425,28.4,28.6,14.3,51.1,50.8,75.2,84.1,44.5,4.16,28.6,10700,25400,22100,396,653,4800,3080,97.8,45400,137000,96800,529,4620,12600,116,914,3100,3530,2350,2770,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Fixed,y3,0,0.65,3.72,0,,,,y5,0,1.2,0,Fixed-Free,,,,,,,,,,,,,,41,W36X330,W36X330,F,330,96.9,37.7,37  5/8 ,16.6,16  5/8 ,1.02,1      ,  1/2 ,1.85,1  7/8 ,2.80,3  1/8 ,1  3/4 ,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,149,4.53,35.9,698,,,121,138,92.0,109,31  3/8 ,7  1/2 ,3    ,W920X491,W920X491,491,62500,958,956,422,422,25.9,25.4,12.7,47.0,47.6,71.1,79.4,44.5,4.49,31.4,9700,23100,20300,394,591,4340,2800,97.3,35100,122000,96100,479,4240,11400,115,912,3070,3510,2340,2770,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed-Fixed,y4,0,0.65,3.72,0,,,,Governing KLy,,,32,,,,,,,,,,,,,,,42,W36X302,W36X302,F,302,89.0,37.3,37  3/8 ,16.7,16  5/8 ,0.945, 15/16,  1/2 ,1.68,1 11/16,2.63,3      ,1 11/16,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,148,4.53,35.6,635,,,121,138,91.3,108,31  3/8 ,7  1/2 ,3    ,W920X449,W920X449,449,57400,947,949,424,422,24.0,23.8,12.7,42.7,42.9,66.8,76.2,42.9,4.96,33.9,8780,21000,18500,391,541,3950,2560,97.0,26800,111000,95500,433,3850,10400,115,904,3070,3510,2320,2740,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Free-Pinned,y5,0,2,3.72,0,,,,,,,,,,,,,,,,,,,,,,43,W36X282,W36X282,F,282,82.9,37.1,37  1/8 ,16.6,16  5/8 ,0.885,  7/8 ,  7/16,1.57,1  9/16,2.52,2  7/8 ,1  5/8 ,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.80,52.7,378000,147,4.50,35.5,591,,,120,137,90.8,107,31  3/8 ,7  1/2 ,3    ,W920X420,W920X420,420,53500,942,943,422,422,22.5,22.2,11.1,39.9,39.7,64.0,73.0,41.3,5.29,36.2,8160,19500,17200,391,499,3650,2360,96.5,21900,102000,94800,400,3590,9680,114,902,3050,3480,2310,2720,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Governing KL/r,,,,,112.9032258,,,,LRFD,,,,,,,,,,,,,,,,,,44,W36X262,W36X262,F,262,77.2,36.9,36  7/8 ,16.6,16  1/2 ,0.840, 13/16,  7/16,1.44,1  7/16,2.39,2  3/4 ,1  5/8 ,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,147,4.46,35.5,543,,,120,137,90.4,107,31  3/8 ,7  1/2 ,3    ,W920X390,W920X390,390,49800,937,937,422,419,21.3,20.6,11.1,36.6,36.5,60.7,69.9,41.3,5.75,38.2,7450,18000,15900,389,454,3340,2160,95.5,17300,91800,94800,363,3280,8900,113,902,3050,3480,2300,2720,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AISC MANUAL LABEL,WEIGHT,PU,REMARKS,,,,,,,,,,,,,,,45,W36X247,W36X247,F,247,72.5,36.7,36  5/8 ,16.5,16  1/2 ,0.800, 13/16,  7/16,1.35,1  3/8 ,2.30,2  5/8 ,1  5/8 ,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,146,4.42,35.4,509,,,120,136,89.9,106,31  3/8 ,7  1/2 ,3    ,W920X368,W920X368,368,46800,932,930,419,419,20.3,20.6,11.1,34.3,34.9,58.4,66.7,41.3,6.11,40.1,6950,16900,15000,386,420,3110,2020,95.0,14400,84900,94200,338,3060,8340,112,899,3050,3450,2280,2690,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHECKING CAPACITY,,,,,,,,,W14X90,90,793.9337556,SAFE,,,,,,,,,,,,,,,46,W36X231,W36X231,F,231,68.2,36.5,36  1/2 ,16.5,16  1/2 ,0.760,  3/4 ,  3/8 ,1.26,1  1/4 ,2.21,2  9/16,1  9/16,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,145,4.40,35.2,476,,,120,136,89.5,106,31  3/8 ,7  1/2 ,3    ,W920X344,W920X344,344,44000,927,927,419,419,19.3,19.0,9.52,32.0,31.8,56.1,65.1,39.7,6.54,42.2,6490,15800,14000,384,391,2880,1870,94.2,11900,78400,93500,315,2870,7800,112,894,3050,3450,2270,2690,797,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Euler's Elastic Buckling,,,Fe =,22.45355143,ksi,,,,W12X65,65,576.68894,SAFE,,,,,,,,,,,,,,,47,W36X387,W36X387,T,387,114,39.1,39  1/8 ,12.7,12  3/4 ,1.42,1  7/16,  3/4 ,2.56,2  9/16,3.31,3 13/16,1 15/16,2.48,22.9,26500,1610,1360,15.2,882,224,139,2.78,172,294000,116,3.44,36.5,799,,,112,125,90.9,104,31  1/2 ,5  1/2 ,–,W920X576,W920X576,576,73500,993,994,323,324,36.1,36.5,19.1,65.0,65.1,84.1,96.8,49.2,2.48,22.9,11000,26400,22300,386,367,3670,2280,70.6,71600,78900,74800,393,4330,13100,87.4,927,2840,3180,2310,2640,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Critical Elastic Buckling Stress,,,Fcr =,19.72907879,ksi,,,,W10X49,49,433.4893961,SAFE,,,,,,,,,,,,,,,48,W36X350,W36X350,T,350,103,38.6,38  5/8 ,12.6,12  5/8 ,1.30,1  5/16, 11/16,2.32,2  5/16,3.07,3  9/16,1  7/8 ,2.72,25.0,23600,1440,1220,15.1,780,199,124,2.75,129,257000,114,3.41,36.3,718,,,111,124,89.8,102,31  1/2 ,5  1/2 ,–,W920X521,W920X521,521,66500,980,981,320,321,33.0,33.3,17.5,58.9,58.7,78.0,90.5,47.6,2.72,25.0,9820,23600,20000,384,325,3260,2030,69.9,53700,69000,73500,348,3900,11800,86.6,922,2820,3150,2280,2590,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W8X35,35,310.4977275,SAFE,,,,,,,,,,,,,,,49,W36X318,W36X318,T,318,93.4,38.2,38  1/4 ,12.4,12  3/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,2.88,3  3/8 ,1 13/16,2.91,27.5,21200,1300,1110,15.1,682,176,110,2.70,98.3,222000,112,3.33,36.1,646,,,110,122,88.8,101,31  1/2 ,5  1/2 ,–,W920X474,W920X474,474,60300,970,972,315,314,30.0,30.2,15.9,54.1,54.0,73.2,85.7,46.0,2.91,27.5,8820,21300,18200,384,284,2880,1800,68.6,40900,59600,72300,307,3540,10600,84.6,917,2790,3100,2260,2570,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOAD AND RESISTANCE FACTORED DESIGN (LRFD),,,,,,,,,,,,,,,,,,,,,,,,,,,50,W36X286,W36X286,F,286,83.9,37.8,37  3/4 ,12.3,12  1/4 ,1.06,1  1/16,  9/16,1.93,1 15/16,2.68,3  1/8 ,1  3/4 ,3.19,30.6,18900,1160,1000,15.0,602,156,97.9,2.68,72.8,194000,110,3.29,35.9,578,,,109,121,87.9,100,31  1/2 ,5  1/2 ,–,W920X425,W920X425,425,54100,960,959,312,311,26.9,27.0,14.3,49.0,49.2,68.1,79.4,44.5,3.19,30.6,7870,19000,16400,381,251,2560,1600,68.1,30300,52100,71000,273,3200,9470,83.6,912,2770,3070,2230,2540,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultimate Load,,Pu= ΦFcrAg,Pu =,2627.913295,kips,,,,Arranged to Lightest,,,,,,,,,,,,,,,,,,51,W36X256,W36X256,F,256,75.3,37.4,37  3/8 ,12.2,12  1/4 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.48,2 15/16,1 11/16,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,109,3.24,35.7,516,,,108,120,87.0,99.2,31  1/2 ,5  1/2 ,–,W920X381,W920X381,381,48600,951,949,310,311,24.4,23.8,12.7,43.9,44.4,63.0,74.6,42.9,3.53,33.8,6990,17000,14700,378,220,2250,1420,67.3,22000,45100,70300,240,2850,8460,82.3,907,2740,3050,2210,2520,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AISC MANUAL LABEL,WEIGHT,PU,REMARKS,,,,,,,,,,,,,,,52,W36X232,W36X232,F,232,68.0,37.1,37  1/8 ,12.1,12  1/8 ,0.870,  7/8 ,  7/16,1.57,1  9/16,2.32,2 13/16,1  5/8 ,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,108,3.21,35.5,464,,,108,120,86.3,98.4,31  1/2 ,5  1/2 ,–,W920X345,W920X345,345,43900,943,943,307,308,22.1,22.2,11.1,39.9,39.7,58.9,71.4,41.3,3.86,37.3,6240,15300,13300,376,195,2000,1270,66.5,16500,39700,69700,213,2570,7600,81.5,902,2740,3050,2190,2500,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALLOWABLE STRENGTH DESIGN (ASD),,,,,,,,,W8X35,35,310.4977275,SAFE,,,,,,,,,,,,,,,53,W36X210,W36X210,F,210,61.9,36.7,36  3/4 ,12.2,12  1/8 ,0.830, 13/16,  7/16,1.36,1  3/8 ,2.11,2  5/8 ,1  5/8 ,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28.0,128000,108,3.18,35.3,412,,,107,119,85.6,97.8,31  1/2 ,5  1/2 ,–,W920X313,W920X313,313,39900,932,933,310,308,21.1,20.6,11.1,34.5,34.9,53.6,66.7,41.3,4.48,39.1,5490,13700,11800,371,171,1750,1110,65.5,11700,34400,69700,186,2230,6750,80.8,897,2720,3020,2170,2480,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allowable Load,,Pa= FcrAg/Ω,Pa =,1748.445306,kips,,,,W10X49,49,433.4893961,SAFE,,,,,,,,,,,,,,,54,W36X194,W36X194,F,194,57.0,36.5,36  1/2 ,12.1,12  1/8 ,0.765,  3/4 ,  3/8 ,1.26,1  1/4 ,2.01,2  1/2 ,1  9/16,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,107,3.15,35.2,379,,,107,119,85.1,97.2,31  1/2 ,5  1/2 ,–,W920X289,W920X289,289,36800,927,927,307,308,19.4,19.0,9.52,32.0,31.8,51.1,63.5,39.7,4.81,42.4,5040,12600,10900,371,156,1600,1010,65.0,9240,31200,69000,169,2060,6210,80.0,894,2720,3020,2160,2470,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W12X65,65,576.68894,SAFE,,,,,,,,,,,,,,,55,W36X182,W36X182,F,182,53.6,36.3,36  3/8 ,12.1,12  1/8 ,0.725,  3/4 ,  3/8 ,1.18,1  3/16,1.93,2  3/8 ,1  9/16,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,106,3.13,35.1,355,,,106,118,84.7,96.8,31  1/2 ,5  1/2 ,–,W920X271,W920X271,271,34600,922,924,307,308,18.4,19.0,9.52,30.0,30.2,49.0,60.3,39.7,5.12,44.8,4700,11800,10200,368,144,1490,944,64.8,7700,28700,68400,157,1930,5820,79.5,892,2690,3000,2150,2460,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W14X90,90,793.9337556,SAFE,,,,,,,,,,,,,,,56,W36X170,W36X170,F,170,50.0,36.2,36  1/8 ,12.0,12      ,0.680, 11/16,  3/8 ,1.10,1  1/8 ,1.85,2  3/8 ,1  9/16,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,105,3.11,35.1,330,,,106,118,84.4,96.4,31  1/2 ,5  1/2 ,–,W920X253,W920X253,253,32300,919,918,305,305,17.3,17.5,9.52,27.9,28.6,47.0,60.3,39.7,5.47,47.7,4370,10900,9520,368,133,1370,872,64.3,6290,26500,67700,145,1790,5410,79.0,892,2690,3000,2140,2450,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,W36X160,W36X160,F,160,47.0,36.0,36      ,12.0,12      ,0.650,  5/8 ,  5/16,1.02,1      ,1.77,2  1/4 ,1  9/16,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.50,12.4,90200,105,3.09,35.0,308,,,105,117,84.0,96.0,31  1/2 ,5  1/2 ,–,W920X238,W920X238,238,30300,914,914,305,305,16.5,15.9,7.94,25.9,25.4,45.0,57.2,39.7,5.88,49.9,4060,10200,8880,366,123,1270,805,63.5,5160,24200,67700,134,1660,5050,78.5,889,2670,2970,2130,2440,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ASD,,,,,,,,,,,,,,,,,,58,W36X150,W36X150,F,150,44.3,35.9,35  7/8 ,12.0,12      ,0.625,  5/8 ,  5/16,0.940, 15/16,1.69,2  3/16,1  1/2 ,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,105,3.06,35.0,287,,,105,117,83.8,95.8,31  1/2 ,5  1/2 ,–,W920X223,W920X223,223,28600,912,911,305,305,15.9,15.9,7.94,23.9,23.8,42.9,55.6,38.1,6.37,51.9,3760,9520,8260,363,112,1160,739,62.7,4200,22100,67700,122,1530,4700,77.7,889,2670,2970,2130,2430,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AISC MANUAL LABEL,W,PA,REMARKS,,,,,,,,,,,,,,,59,W36X135,W36X135,F,135,39.9,35.6,35  1/2 ,12.0,12      ,0.600,  5/8 ,  5/16,0.790, 13/16,1.54,2  1/16,1  1/2 ,7.56,54.1,7800,509,439,14.0,225,59.7,37.7,2.38,7.00,68100,104,2.99,34.8,251,,,105,117,83.2,95.2,31  1/2 ,5  1/2 ,–,W920X201,W920X201,201,25700,904,902,305,305,15.2,15.9,7.94,20.1,20.6,39.1,52.4,38.1,7.56,54.1,3250,8340,7190,356,93.7,978,618,60.5,2910,18300,67100,102,1280,4110,75.9,884,2670,2970,2110,2420,800,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W14X90,90,528.232705,SAFE,,,,,,,,,,,,,,,60,W33X387,W33X387,T,387,114,36.0,36      ,16.2,16  1/4 ,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,3.07,3  9/16,1 13/16,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,137,4.49,33.7,778,,,117,133,88.2,104,28  7/8 ,5  1/2 ,3    ,W840X576,W840X576,576,73500,914,914,411,413,32.0,31.8,15.9,57.9,57.2,78.0,90.5,46.0,3.55,23.7,10100,25600,22100,371,674,5110,3280,95.8,61600,123000,88400,524,4700,12700,114,856,2970,3380,2240,2640,733,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W12X65,65,383.6919095,SAFE,,,,,,,,,,,,,,,61,W33X354,W33X354,T,354,104,35.6,35  1/2 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.88,3  3/8 ,1 13/16,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,135,4.44,33.5,707,,,116,132,87.3,103,28  7/8 ,5  1/2 ,3    ,W840X527,W840X527,527,67100,904,902,409,410,29.5,30.2,15.9,53.1,52.4,73.2,85.7,46.0,3.85,25.7,9160,23300,20300,368,608,4620,2970,95.0,47900,110000,87100,470,4290,11600,113,851,2950,3350,2220,2620,733,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
